,Hit@1,NDCG@1,Hit@3,NDCG@3,Hit@5,NDCG@5
0.0,0.10828025477707007,0.10828025477707007,0.2929936305732484,0.21231220732484338,0.39490445859872614,0.25452801894357696
0.1,0.12738853503184713,0.12738853503184713,0.28662420382165604,0.21617979165150342,0.39490445859872614,0.26085963388956535
0.2,0.12738853503184713,0.12738853503184713,0.2929936305732484,0.22103239997725446,0.42038216560509556,0.2739417305861455
0.3,0.12101910828025478,0.12101910828025478,0.2929936305732484,0.2203495290263906,0.445859872611465,0.2833941142835429
0.4,0.12738853503184713,0.12738853503184713,0.33121019108280253,0.2443104176069187,0.445859872611465,0.2906168939514646
0.5,0.15286624203821655,0.15286624203821655,0.33121019108280253,0.25371348121019366,0.4267515923566879,0.29290699786770286
0.6,0.12101910828025478,0.12101910828025478,0.3248407643312102,0.23794099085532636,0.42038216560509556,0.2771345075128355
0.7,0.09554140127388536,0.09554140127388536,0.3248407643312102,0.22687003230209654,0.39490445859872614,0.25537002996944824
0.8,0.08917197452229299,0.08917197452229299,0.2929936305732484,0.20609385709736458,0.37579617834394907,0.24008018034526907
0.9,0.08917197452229299,0.08917197452229299,0.2611464968152866,0.1860005528434965,0.35668789808917195,0.22491493733005755
1.0,0.08917197452229299,0.08917197452229299,0.21019108280254778,0.15802100341219477,0.3248407643312102,0.20460661192768878
